Time(ps)		Normalized Counts		Error
-20000			115.0000000000000		
-19800			104.0000000000000		
-19600			122.0000000000000		
-19400			94.00000000000000		
-19200			101.0000000000000		
-19000			117.0000000000000		
-18800			116.0000000000000		
-18600			104.0000000000000		
-18400			110.0000000000000		
-18200			92.00000000000000		
-18000			107.0000000000000		
-17800			108.0000000000000		
-17600			118.0000000000000		
-17400			131.0000000000000		
-17200			98.00000000000000		
-17000			100.0000000000000		
-16800			117.0000000000000		
-16600			95.00000000000000		
-16400			99.00000000000000		
-16200			112.0000000000000		
-16000			92.00000000000000		
-15800			123.0000000000000		
-15600			101.0000000000000		
-15400			114.0000000000000		
-15200			123.0000000000000		
-15000			108.0000000000000		
-14800			113.0000000000000		
-14600			108.0000000000000		
-14400			108.0000000000000		
-14200			96.00000000000000		
-14000			101.0000000000000		
-13800			117.0000000000000		
-13600			114.0000000000000		
-13400			102.0000000000000		
-13200			116.0000000000000		
-13000			117.0000000000000		
-12800			95.00000000000000		
-12600			105.0000000000000		
-12400			110.0000000000000		
-12200			104.0000000000000		
-12000			107.0000000000000		
-11800			103.0000000000000		
-11600			116.0000000000000		
-11400			90.00000000000000		
-11200			101.0000000000000		
-11000			111.0000000000000		
-10800			119.0000000000000		
-10600			98.00000000000000		
-10400			95.00000000000000		
-10200			119.0000000000000		
-10000			115.0000000000000		
-9800			110.0000000000000		
-9600			91.00000000000000		
-9400			103.0000000000000		
-9200			108.0000000000000		
-9000			115.0000000000000		
-8800			79.00000000000000		
-8600			101.0000000000000		
-8400			117.0000000000000		
-8200			111.0000000000000		
-8000			112.0000000000000		
-7800			114.0000000000000		
-7600			99.00000000000000		
-7400			108.0000000000000		
-7200			125.0000000000000		
-7000			105.0000000000000		
-6800			110.0000000000000		
-6600			102.0000000000000		
-6400			114.0000000000000		
-6200			113.0000000000000		
-6000			121.0000000000000		
-5800			111.0000000000000		
-5600			133.0000000000000		
-5400			110.0000000000000		
-5200			109.0000000000000		
-5000			100.0000000000000		
-4800			124.0000000000000		
-4600			96.00000000000000		
-4400			109.0000000000000		
-4200			93.00000000000000		
-4000			112.0000000000000		
-3800			110.0000000000000		
-3600			95.00000000000000		
-3400			118.0000000000000		
-3200			117.0000000000000		
-3000			101.0000000000000		
-2800			111.0000000000000		
-2600			112.0000000000000		
-2400			122.0000000000000		
-2200			178.0000000000000		
-2000			217.0000000000000		
-1800			140.0000000000000		
-1600			116.0000000000000		
-1400			99.00000000000000		
-1200			111.0000000000000		
-1000			102.0000000000000		
-800			97.00000000000000		
-600			116.0000000000000		
-400			117.0000000000000		
-200			103.0000000000000		
0			134.0000000000000		
200			111.0000000000000		
400			123.0000000000000		
600			84.00000000000000		
800			102.0000000000000		
1000			112.0000000000000		
1200			121.0000000000000		
1400			126.0000000000000		
1600			98.00000000000000		
1800			98.00000000000000		
2000			113.0000000000000		
2200			113.0000000000000		
2400			115.0000000000000		
2600			91.00000000000000		
2800			100.0000000000000		
3000			107.0000000000000		
3200			121.0000000000000		
3400			114.0000000000000		
3600			111.0000000000000		
3800			117.0000000000000		
4000			119.0000000000000		
4200			92.00000000000000		
4400			80.00000000000000		
4600			105.0000000000000		
4800			98.00000000000000		
5000			99.00000000000000		
5200			112.0000000000000		
5400			94.00000000000000		
5600			122.0000000000000		
5800			99.00000000000000		
6000			101.0000000000000		
6200			88.00000000000000		
6400			118.0000000000000		
6600			102.0000000000000		
6800			92.00000000000000		
7000			118.0000000000000		
7200			107.0000000000000		
7400			103.0000000000000		
7600			110.0000000000000		
7800			118.0000000000000		
8000			131.0000000000000		
8200			98.00000000000000		
8400			130.0000000000000		
8600			112.0000000000000		
8800			99.00000000000000		
9000			111.0000000000000		
9200			97.00000000000000		
9400			102.0000000000000		
9600			95.00000000000000		
9800			107.0000000000000		
10000			93.00000000000000		
10200			96.00000000000000		
10400			109.0000000000000		
10600			89.00000000000000		
10800			120.0000000000000		
11000			115.0000000000000		
11200			104.0000000000000		
11400			101.0000000000000		
11600			109.0000000000000		
11800			93.00000000000000		
12000			107.0000000000000		
12200			115.0000000000000		
12400			106.0000000000000		
12600			114.0000000000000		
12800			122.0000000000000		
13000			99.00000000000000		
13200			108.0000000000000		
13400			107.0000000000000		
13600			114.0000000000000		
13800			120.0000000000000		
14000			113.0000000000000		
14200			85.00000000000000		
14400			109.0000000000000		
14600			117.0000000000000		
14800			130.0000000000000		
15000			124.0000000000000		
15200			103.0000000000000		
15400			115.0000000000000		
15600			120.0000000000000		
15800			107.0000000000000		
16000			98.00000000000000		
16200			116.0000000000000		
16400			96.00000000000000		
16600			117.0000000000000		
16800			108.0000000000000		
17000			91.00000000000000		
17200			120.0000000000000		
17400			113.0000000000000		
17600			111.0000000000000		
17800			106.0000000000000		
18000			116.0000000000000		
18200			107.0000000000000		
18400			108.0000000000000		
18600			117.0000000000000		
18800			102.0000000000000		
19000			108.0000000000000		
19200			121.0000000000000		
19400			108.0000000000000		
19600			113.0000000000000		
19800			101.0000000000000		
